ScenarioTime,A escooter accel,A escooter steering,A escooter acc_x,A escooter acc_y,A escooter acc_z,A escooter rot_x,A escooter rot_y,A escooter rot_z,Websocket_message_timestamp,Prototype,Task,ws_action,ws_value,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,vehicle x_Rot,vehicle y_Rot,vehicle z_Rot,accel_magnitude,gyro_magnitude,velocity_magnitude
0.0,0.0,-3.6,9.56,-0.13,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46598815917969,0.44619929790496826,58.542076110839844,-0.00478141475468874,-0.0007283240556716919,-0.000017616453988011926,0.020047085359692574,-0.0007283240556716919,-0.000017616453988011926,9.76782985109794,0.033166247903554,0.00483659935552619
0.09169,0.0,-3.6,9.55,-0.14,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46617126464844,0.4461744427680969,58.54207992553711,-0.004967760294675827,-0.00026467442512512207,-6.749789463356137e-6,0.01774984784424305,-0.00026467442512512207,-6.749789463356137e-6,9.75818118298692,0.033166247903554,0.004974810595020756
0.105835,0.0,-3.6,9.55,-0.14,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46640014648438,0.4461832046508789,58.54207992553711,0.008545164950191975,-0.00014069676399230957,-0.00003476875281194225,0.01435609720647335,-0.00014069676399230957,-0.00003476875281194225,9.75818118298692,0.033166247903554,0.008546393886988793
0.119873,0.0,-2.7,9.56,-0.14,2.0,0.02,-0.02,-0.01,1724732017,Control,ScooterStudyenv,,,81.46626281738281,0.4461735486984253,58.54207992553711,-0.004997062496840954,-0.00008963048458099365,-6.029411451891065e-6,0.016617530956864357,-0.00008963048458099365,-6.029411451891065e-6,9.767968058915836,0.030000000000000002,0.004997869903759303
0.133911,4.0,-4.5,9.57,-0.13,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46648406982422,0.4461859464645386,58.54207992553711,0.008530679158866405,0.000014290213584899902,-0.00003794901931541972,0.013248112984001637,0.000014290213584899902,-0.00003794901931541972,9.777617296662823,0.033166247903554,0.008530775536244577
0.147781,0.0,-2.7,9.56,-0.14,2.01,0.02,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46648406982422,0.4461859464645386,58.54207992553711,0.008530679158866405,0.000014290213584899902,-0.00003794901931541972,0.013248112984001637,0.000014290213584899902,-0.00003794901931541972,9.770020470807623,0.03741657386773942,0.008530775536244577
0.161667,0.0,-2.7,9.57,-0.14,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46634674072266,0.44617849588394165,58.54207992553711,-0.005014878697693348,0.00004564225673675537,-0.00001791790418792516,0.015532704070210457,0.00004564225673675537,-0.00001791790418792516,9.777755366135931,0.033166247903554,0.005015118405328935
0.175552,0.0,-3.6,9.55,-0.14,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.4665756225586,0.44619274139404297,58.54207992553711,0.008521142415702343,0.0001254826784133911,-0.000039266360545298085,0.012188632972538471,0.0001254826784133911,-0.000039266360545298085,9.75818118298692,0.033166247903554,0.008522156758610688
0.189453,-12.0,-2.7,9.56,-0.13,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.4665756225586,0.44619274139404297,58.54207992553711,0.008521142415702343,0.0001254826784133911,-0.000039266360545298085,0.012188632972538471,0.0001254826784133911,-0.000039266360545298085,9.76782985109794,0.033166247903554,0.008522156758610688
0.203339,0.0,-3.6,9.55,-0.13,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46648406982422,0.446189820766449,58.54207992553711,-0.002961227670311928,0.00012558698654174805,-0.000012058651918778196,0.013764485716819763,0.00012558698654174805,-0.000012058651918778196,9.75804283655283,0.033166247903554,0.0029639141043046008
0.217224,4.0,-2.7,9.55,-0.14,2.01,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46672821044922,0.4462054967880249,58.54207992553711,0.009308860637247562,0.00018200278282165527,-0.000029664955945918337,0.010338185355067253,0.00018200278282165527,-0.000029664955945918337,9.760235652892813,0.033166247903554,0.009310686944917823
0.231155,4.0,-3.6,9.56,-0.14,2.01,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46672821044922,0.4462054967880249,58.54207992553711,0.009308860637247562,0.00018200278282165527,-0.000029664955945918337,0.010338185355067253,0.00018200278282165527,-0.000029664955945918337,9.770020470807623,0.033166247903554,0.009310686944917823
0.245132,0.0,-3.6,9.56,-0.14,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46665954589844,0.44620323181152344,58.542083740234375,-0.0021859239786863327,0.00015345215797424316,0.00001807539229048416,0.011886930093169212,0.00015345215797424316,0.00001807539229048416,9.767968058915836,0.033166247903554,0.002191378088142093
0.259018,0.0,-2.7,9.56,-0.14,2.0,0.01,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.4668960571289,0.4462181329727173,58.542083740234375,0.00908791646361351,0.00020512938499450684,-0.000029843533411622047,0.008800005540251732,0.00020512938499450684,-0.000029843533411622047,9.767968058915836,0.033166247903554,0.009090280212990808
0.272903,0.0,-2.7,9.56,-0.14,2.0,0.02,-0.03,-0.01,1724732017,Control,ScooterStudyenv,,,81.46676635742188,0.4462128281593323,58.542083740234375,-0.0043700942769646645,0.00017526745796203613,-0.000010272175131831318,0.011333364993333817,0.00017526745796203613,-0.000010272175131831318,9.767968058915836,0.03741657386773942,0.004373619575244483
